,ID,Name,Col-3,Col-4,Phn No,Col-6
0,# 103460,Adams,Rocky Mountain Herbal Farms,2140 Country Club Parkway,9702151771,Milliken Colorado 80543
1,# 103480,Adams,"Phamily Farm Production, LLC",16590 Watkins Road,720-926-6568,Brighton Colorado 80601
2,# 103519,Adams,Hammer Enterprises I.S.,57700 E. 24th Ave.,415-941-1283,Strasburg Colorado 80136
3,# 103526,Adams,Kinh Pham,1979 S. Lake Rd,720-226-6059,Lakewood Colorado 80227
4,# 103538,Adams,Berserker Holdings LLC,6565 Vine Court,720573-4801,Denver Colorado 80229
5,# 103559,Adams,Greengroves LLC,15665 Havana Way,720-232-4989,Brighton Colorado 80602
6,# 103572,Adams,Rocky Mountain Herbal Farms,2140 Country Club Parkway,9702151771,Milliken Colorado 80543
7,# 103623,Adams,Haleigh's Hope Inc,PO Box 24,303-842-0179,Fairplay Colorado 80440
8,# 103630,Adams,"Agros, LLC",PO Box 427,3033224116,Brighton Colorado 80601
9,# 103682,Adams,"CSS Consulting, LLC","5023 W 120th Ave, #120",720-837-5947,Broomfield Colorado 80023
10,# 103716,Adams,"C.F.H., Ltd","350 Terry St, Suite 150",610-906-0259,Longmont Colorado 80510
11,# 103739,Adams,GOOD FATE LLC,7756 S Joplin Ct,3037045534,Englewood Colorado 80112
12,# 103771,Adams,Micah Town,7380 Schumaker Road,7202311149,Bennett Colorado 80102
13,# 103813,Adams,DENVER TAI HONG LLC,16295 E Geddes Pl,3037045534,Centennial Colorado 80016
14,# 103835,Adams,Leader Organics Inc.,13975 Mimosa Rd,3035145709,Byers Colorado 80103
15,# 103902,Adams,"Juleah, LLC",3879 E 120th Ave #301,561-324-8466,Thornton Colorado 80233
16,# 103911,Adams,Arkansas Valley Farms L.L.C.,11700 E 160th Ave,303-995-8314,Brighton Colorado 80602
17,# 103938,Adams,"Mile High Organics, LLC",7830 West Alameda Ave,303-828-8642,Lakewood Colorado 80226
18,# 103944,Adams,"Willoughby Farms, LLC",9460 N Manilla Rd,402-206-9692,Bennett Colorado 80102
19,# 103951,Adams,"Berserker Holdings, LLC",6565 Vine Court,,Denver Colorado 80229
20,# 103972,Adams,Connor Kloepfer,1435 County Road 16 1/2,7202542153,LONGMONT Colorado 80504
21,# 103985,Adams,"Drallibor Hemp Co., LLC",9580 East 160th Avenue,303-665-5828,Brighton Colorado 80602
22,# 104007,Adams,"Phamily Farm, LLC",8578 E 50th Ave,7209266568,Denver Colorado 80238
23,# 103551,Alamosa,Cloud CO. Farms LLC,PO Box 681,719-722-4422,Alamosa Colorado 81101
24,# 103552,Alamosa,Cloud CO Farms LLC,PO Box 681,719-722-4422,Alamosa Colorado 81101
25,# 103667,Alamosa,BryFaH Inc,1370 S Depew St,720-628-4330,Lakewood Colorado 80232
26,# 103788,Alamosa,Leafusion LLC,5066 County Road 112,,Mosca Colorado 81146
27,# 103815,Alamosa,Green Acres Hemp Farm,6344 county road 116 south,719-206-4367,alamosa Colorado 81101
28,# 103852,Alamosa,Apis Domum Farm LLC,1950 Chambers Rd,3035693022,Aurora Colorado 80011
29,# 103659,Arapahoe,Colomeadow Farms LLC,64001 Old US Hwy 40,303-822-5800,Byers Colorado 80103
30,# 103660,Arapahoe,Colomeadow Farms LLC,64001 Old US Hwy 40,303-822-5800,Byers Colorado 80103
31,# 103966,Arapahoe,la ferme colorado llc,2443 south oakland circle,2054216196,aurora Colorado 80014
32,# 103997,Arapahoe,Vigeo Construction and Consulting,1420 Ulster St,970-445-2616,Denver Colorado 80220
33,# 103631,Archuleta,Kerrigan Farms L.L.C.,3531 CR 973,9707691809,Ignacio Colorado 81137
34,# 103673,Archuleta,Ample Returns LLC,PO Box 1973,9708832551,Arboles Colorado 81121
35,# 103761,Archuleta,Kind Hemp Farms LLC,P.O. Box 1815,9708830015,Arboles Colorado 81121
36,# 103589,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
37,# 103590,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
38,# 103591,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
39,# 103592,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
40,# 103593,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
41,# 103594,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
42,# 103600,Baca,RCG Farms Inc,24491 CR 37.5,,Walsh Colorado 81090
43,# 103838,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
44,# 103839,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
45,# 103840,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
46,# 103841,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
47,# 103846,Baca,"LP Ind., LLC",23298 US Hwy 160,719-529-0758,Springfield Colorado 81073
48,# 103848,Baca,"CAG Holdings, LLC",23298 US Hwy 160,719-529-0758,Springfield Colorado 81073
49,# 103892,Baca,4 leaf clover farms llc,25336 CR. DD .5,719-353-1422,Springfield Colorado 81073
50,# 103921,Baca,"Rocky Mountain Hemp, Inc.",23256 US Highway 160,9705960723,Springfield Colorado 81073
51,# 103638,Bent,Cortez Hemp LLC,919 6th Street,7194686891,Las Animas Colorado 81054
52,# 103767,Bent,NAF Grow Company,"7991 Shaffer Parkway, Suite 200",7205606086,Littleton Colorado 80127
53,# 103491,Boulder,Hempward Farms LLC,2300 75th Street,303-589-0947,Boulder Colorado 80301
54,# 103507,Boulder,Vermillion Hill Farms,9202 Vermillion road,7202317170,Longmont Colorado 80503
55,# 103533,Boulder,"Buffalo Ventures, LLC",8187 Ouray Dr.,720-899-6514,Longmont Colorado 80503
56,# 103553,Boulder,Love R Hemp LLC,4130 Chippewa St,303-579-9630,Boulder Colorado 80303
57,# 103596,Boulder,Saint Vrain Research LLC,425 S Bowen St Unit 4,720-924-6147,Longmont Colorado 80501
58,# 103604,Boulder,North Field Farm,3535 Nyland Way,704-201-5853,Lafayette Colorado 80026
59,# 103607,Boulder,Proto Hemp Products LLC,"2000 South Colorado Blvd Tower One,",,Suite 2000
60,720-713-9925,Denver Colorado 80222,# 103620,Boulder,RJM LLC,PO Box 2694
61,970-380-4656,Lyons Colorado 80540,# 103657,Boulder,"Tree Cellar, LLC","300 Center Dr., Suite G188"
62,9542353777,Superior Colorado 80027,,,,
63,# 103669,Boulder,"HGH Seed, Inc.",11021 Yellowstone Road,808-392-0472,Longmont Colorado 80504
64,# 103702,Boulder,Wild Hills Ag Productions LLC,10771 N 49th St,716-860-3594,Longmont Colorado 80503
65,# 103749,Boulder,Drabbit Farms,PO Box 18074,3034197262,Boulder Colorado 80308
66,# 103768,Boulder,Hempz.inc,1900 55 st #105b,2396828182,Boulder Colorado 80301
67,# 103770,Boulder,"Knotweed Farms, LLC",7957 Arapahoe Rd,512-944-5216,boulder Colorado 80303
68,# 103772,Boulder,"Center Pivot Group, LLC",11021 Yellowstone Road,727-249-6725,Longmont Colorado 80504
69,# 103789,Boulder,Tindakan Innovations PBC,238 Sweet Valley Court,7203640972,Longmont Colorado 80501
70,# 103790,Boulder,One Heart Hemp Collective LLC,7751 WOODLAND RD,720-315-1075,LONGMONT Colorado 80503
71,# 103842,Boulder,The Rainforest LLC,PO Box 241,970-930-1568,Lyons Colorado 80540
72,# 103850,Boulder,Saint Vrain Research LLC,5926 Saint Vrain Rd,3038181008,Longmont Colorado 80503
73,# 103857,Boulder,Bud Brother Farms LLC,4336 63rd Street,7725380210,Boulder Colorado 80302
74,# 103865,Boulder,"HGH Seed, Inc.",11021 Yellowstone Road,808-392-0472,Longmont Colorado 80504
75,# 103906,Boulder,"Center Pivot Group, LLC",11021 Yellowstone Road,480-678-8089,Longmont Colorado 80504
76,# 103909,Boulder,Sunshine Canyon Hemp Company LLC,5220 Sunshine Canyon Drive,3034447141,Boulder Colorado 80302
77,# 103915,Boulder,A Boulder Pharm LLC,3082 N 75th Street,303-931-3760,Boulder Colorado 80301
78,# 103926,Boulder,Soul Grown Farms LLC,9849 Isabelle Road,8049307745,Lafayette Colorado 80026
79,# 103929,Boulder,"Sievers Infinity, LLC",655 Northstar Ct,303-447-0788,Boulder Colorado 80304
80,# 103930,Boulder,"Red Rocks, LLC",2467 N. 119th St.,303-638-7372,Lafayette Colorado 80026
81,# 103955,Boulder,Curnativ Farms LLC,"1555 California Street, Unit 313",720-563-1580,Denver California 80202
82,# 103979,Boulder,The Regents of the University of Colorado,"4845 Pearl East Circle, Suite 200",303-492-0770,Boulder Colorado 80301
83,# 103983,Boulder,"MH Consulting, LLC",959 Wolf  Creek Dr,6306051707,Longmont Colorado 80504
84,# 104008,Boulder,"AeroGrow International, Inc.",5405 Spine Road,(303) 903-0407,Boulder Colorado 80301
85,# 103598,Broomfield,Charlotte's Web Inc.,"1801 California St.,Suite 4800",303-947-8571,Denver Colorado 80202
86,# 103506,Chaffee,Satsang Farms LLC,347 Holiday Hills Dr.,843-513-7888,Howard Colorado 81233
87,# 103670,Chaffee,Orchard Organics LLC,8309 County Road 250,9705563585,Salida Colorado 81201-9445
88,# 103836,Chaffee,"Geo Gardens, Inc.",16455 County Road 162,7193959151,Nathrop Colorado 81236
89,# 103837,Chaffee,"Sawatch Hemp, LLC",16557 County Road 162,8179942766,Nathrop Colorado 81236
90,# 103968,Chaffee,Sawatch Agriculture Llc,16557 County Road 162,8179942766,Nathrop Colorado 81236
91,# 103706,Cheyenne,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
92,# 103707,Cheyenne,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
93,# 103708,Cheyenne,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
94,# 103517,Clear Creek,"Canopy Growth USA, LLC","35715 Highway 40, Suite D102",720-435-0761,Evergreen Colorado 80439
95,# 103497,Conejos,TBHS LLC,1600 Lynda Ln,5129631828,Pueblo Colorado 81008
96,# 103481,Costilla,Rito Claro LLC DBA Dos Hermanos Ranch,PO Box 342,719-672-3660,San Luis Colorado 81152
97,# 103486,Costilla,TSK Multiversal LLC,11050 county rd 21,2167122124,san pablo Colorado 81152
98,# 103547,Costilla,BoMar Agra Estates LLC,29962 17th St,312-999-8871,Blanca Colorado 81123
99,# 103549,Costilla,BoMar Agra Estates LLC,267 9th Street,312-999-8871,Wheeling Illinois 60090
100,# 103570,Costilla,Daniel Ryan Dickson,PO Box 197,210-262-8369,Helotes Texas 78023
101,# 103735,Costilla,Vitality Farms LLC,PO Box 420,970-260-9024,San Luis Colorado 81152
102,# 103830,Crowley,Elvis Farms Corporation,9138 US Highway 50,786-239-4710,Manzanola Colorado 81058
103,# 103671,Custer,Sean Tanner,250 Oak Creek Trail,949-400-6804,Westcliffe  Colorado 81252
104,# 103693,Custer,Super Natural Farms,219 E Fontanero St,719-651-9111,Colorado Springs Colorado 80907
105,# 103843,Custer,Big Nugget Farm,PO BOX 804,785-917-0672,Westcliffe Colorado 81252
106,# 103466,Delta,Full Spectrum Ag LLC,5513 Hwy 348,480-980-6967,Delta Colorado 81416
107,# 103496,Delta,Stephen Schauer,38803 Coburn Rd,,Paonia Colorado 81428
108,# 103562,Delta,Terra Fina LLC,PO Box 541,928-308-5675,Paonia Colorado 81428
109,# 103576,Delta,Black Canyon Seed,430 W 8th St,970-975-1624,Delta Colorado 81416
110,# 103603,Delta,"Ormon Enterprises, INC.",16451 Grange Rd,303-949-2901,Paonia Colorado 81428
111,# 103625,Delta,Sweet Breeze LLC,PO Box 276,7202717165,Hotchkiss Colorado 81419
112,# 103628,Delta,Coleman Middleton,13450 Chickory Rd.,210-501-8985,Hotchkiss Colorado 81419
113,# 103629,Delta,Mary's Web LLC,7114 E Fourth Ave,303-601-6522,Denver Colorado 80220
114,# 103642,Delta,Martinez Farms LLC,3888 1900 Road,,Delta Colorado 81416
115,# 103645,Delta,"ECOGEN BIOSCIENCES, LLC",543 31 Road,305-766-5885,Grand Junction Colorado 81504
116,# 103648,Delta,"Life Research Colorado, LLC",13581 Sky Hill Rd.,8137669330,Paonia Colorado 81428
117,# 103674,Delta,"Jack Rabbit Hill, LLC","PO Box 2004, 26567 North Road",9702349463,Hotchkiss Colorado 81419
118,# 103676,Delta,"Mellowroot, LLC",39818 Nelson Rd,7209898876,Paonia Colorado 81428
119,# 103688,Delta,Potent 2018 ltd,5687 Scenic Mesa Rd,970-921-5172,Hotchkiss Colorado 81419
120,# 103699,Delta,Cindy Watson,15673 LJ Road,9705961815,Delta Colorado 81416
121,# 103709,Delta,High Country Botanicals Ltd.,41619 Lamborn Mesa Rd,970-948-4426,Paonia Colorado 81428
122,# 103714,Delta,Kristopher Meek,1038 E 11th St,4028023413,Delta Colorado 81416
123,# 103731,Delta,Joshua W Frye,13687 Ragged Mountain Drive,970-527-1049,Paonia Colorado 81428
124,# 103746,Delta,Miles Filippelli,8484 Hatchery Road,9702104855,Hotchkiss Colorado 81419
125,# 103756,Delta,B and D Pharms,1736 F ROAD,801-651-1225,DELTA Colorado 81416
126,# 103785,Delta,"22nd Century Technologies, Inc.",41437 Cottonwood Creek Rd,9704563542,Crawford Colorado 81415
127,# 103805,Delta,Pure5 Nutrients Colorado LLC,15827 N 33rd Pl,602-666-6146,Phoenix Arizona 85032
128,# 103806,Delta,Pure5 Nutrients Colorado LLC,15827 N 33rd Pl,602-666-6146,Phoenix Arizona 85032
129,# 103851,Delta,Jeanette VanDenBerg,30211 L Road,9702349101,Hotchkiss Colorado 81419
130,# 103874,Delta,"North Fork Ecologic, Ltd.",16619 Grange Rd,7202969449,Paonia Colorado 81428
131,# 103893,Delta,"CalCo Hemp Growers, LLC",53498 Easter Rd,9709852459,Olathe Colorado 81425
132,# 103905,Delta,Solvana Therapy LLC,36753 Hoffman Road,3038547831,Hotchkiss Colorado 81419
133,# 103927,Delta,Western Slope Hemp Growers Inc,9848 3160 Rd.,(970) 312-5543,Hotchkiss Colorado 81419
134,# 103928,Delta,Judy Armistead,9848 3160 Rd.,831-512-6455,Hotchkiss Colorado 81419
135,# 103949,Delta,Mark Louis Watson,54467 Fox Hill Rd,9702759179,Olathe Colorado 81425
136,# 103962,Delta,ANARA DHAY FARM,12772 ELK VALKEY RD,5512147421,Paonia Colorado 81428
137,# 103974,Delta,GGS Limited,PO Box 514,7204402361,Hotchkiss Colorado 81419
138,# 103976,Delta,Lance Hanson,"PO Box 2004, 26567 North Road",9702349463,Hotchkiss Colorado 81419
139,# 103900,Denver,AgLabs LLC,926 West 6th Ave.,303-949-6547,Denver Colorado 80204
140,# 103916,Denver,Tesoro Genetics LLC,891 14th St. #3418,720-627-9884,Denver Colorado 80202
141,# 103920,Denver,Herbal Pharm Corp,5740 Logan Street,813-618-0906,Denver Colorado 80216
142,# 103967,Denver,Hudson Farm 2763 LLC,2763 County Road 41,303-944-5151,Hudson  Colorado 80642
143,# 103992,Denver,Result Group,PO Box  19445,3037182742,Denver Colorado 80219
144,# 103780,Dolores,HHH Farms LLC,1029 Catalpa Street,970-570-9897,Cortez Colorado 81321
145,# 103503,Douglas,Redmon Company Incorporated,8050 SE Cherry Creek Rd,303-803-0530,Franktown Colorado 80116
146,# 103504,Douglas,LockHaus LLC,11675 Steele Ave,,Elbert Colorado 80106
147,# 103578,Douglas,Eric A Clark,PO Box 154,3039321941,Sedalia Colorado 80135
148,# 103817,Douglas,Serenity Remedies,1030 N Tabor Dr,7203180158,Castle Rock Colorado 80104
149,# 103965,Douglas,EMRLD Global Inc.,4275 Swanson Way #103,512-925-5914,Castle Rock Colorado 80109
150,# 103977,Douglas,"Homestead Organics, Inc.",11256 HEIDEMANN AVE,3035506369,FRANKTOWN Colorado 80116
151,# 103978,Douglas,"UNI Cattle Company, LLC",4830 Greenland Rd,303-250-2084,Larkspur Colorado 80118
152,# 103995,Douglas,Smart Farms LLC,4100 E Mississippi Ave Suite 900,3039078300,Denver Colorado 80246
153,# 104003,Douglas,"AVW Development, LLC",11901 East Palmer Divide Ave.,303-660-1196,Larkspur Colorado 80118
154,# 103462,El Paso,Clean Earth Organic Fertilizer Company LLP,22 Iowa Ave.,303-949-6547,Colorado Springs Colorado 80909
155,# 103472,El Paso,PK Phamily Farm LLC.,26645 Big Springs Rd,8329191958,Calhan Colorado 80808
156,# 103500,El Paso,"HD Distribution, LLC",71 Royal Ann Drive,7202323424,Greenwood Village  Colorado 80111
157,# 103520,El Paso,"Point 3, LLC",6115 Sengbeil Rd.,7048074463,Yoder Colorado 80864
158,# 103540,El Paso,"Fat Flower Farms, LLC",5619 Canyon View Dr,859-640-7248,Castle Rock  Colorado 80104
159,# 103543,El Paso,Hemp Heights 333 LLC,7220 Baker Road,719-394-7288,Colorado Springs Colorado 80908
160,# 103597,El Paso,"Quixotic Farms, LLC",11125 Eureka  Rd,4327015110,Calhan Colorado 80808
161,# 103602,El Paso,Bryan Forte,19155 Holman Rd,7193947430,Colorado Springs Colorado 80928
162,# 103619,El Paso,"Deadstill Hemp Solutions, Ltd.",15540 S Lauppe Rd,8087208733,Yoder Colorado 80864
163,# 103646,El Paso,University of Colorado - Colorado Springs (COS),1420 Austin Bluffs Pkwy,719-255-3121,Colorado Springs Colorado 80918
164,# 103649,El Paso,William C Roets Sr.,245 Weissenfluh Rd.,7194783930,Yoder Colorado 80864
165,# 103650,El Paso,Chase Miller,38570 Ramah Rd E,512-983-3687,Simla Colorado 80835
166,# 103654,El Paso,High Plains Crop Production,19650 Saddle Blanket Ln,2707720124,Peyton Colorado 80831
167,# 103664,El Paso,Black Squirrel Creek Farms,23550 Farmer Rd,585-520-0053,Colorado Springs Colorado 80928
168,# 103692,El Paso,Shakti Hemp,P.O. Box 18322,913-593-1500,Golden Colorado 80402
169,# 103774,El Paso,"Altman Specialty Plants, LLC",14095 N Peyton Hwy,971-222-4422,Peyton Colorado 80831
170,# 103816,El Paso,La Victoria Investment LLC,2355 N Ramah Hwy,,Yoder Colorado 80864
171,# 103872,El Paso,Serenell,2573 W 74th Ave,7204009900,Westminster Colorado 80030
172,# 103875,El Paso,PANDA SOLUTION CORP,4745 Town Center Drive Units A & B,719-309-7275,Calhan Colorado 80808
173,# 103922,El Paso,UHI Farms LLC,7896 Morning Dew Road,786-877-2706,Colorado Springs Colorado 80908
174,# 103931,El Paso,"Colorado Hemp & Hops, LLC",8600 Elliott Dr,719-332-2234,Franktown Colorado 80116
175,# 103940,El Paso,Our nature green house corporation,15815 E. 97th Ave,720-999-3081,Commerce City Colorado 80022
176,# 103954,El Paso,OBBA Kilona LLC,5956 Mulberry Rd,786-838-6729,Calhan Colorado 80808
177,# 103989,El Paso,Pure Hemp Supply LLC,3820 Hancock Expressway,7196604335,Colorado Springs Colorado 80911
178,# 103482,Elbert,Prothman & Place Farms LLC,19244 E Downy Creek Place,720-492-8152,Parker Colorado 80134
179,# 103529,Elbert,Y & Y Association,11980 County Road 133,305-713-0917,Silma Colorado 80835
180,# 103567,Elbert,High Prairie Hemp LLC,4255 Arrowhead Dr,303-829-7882,Colorado Springs Colorado 80908
181,# 103651,Elbert,Root The Rockies Inc,PO Box 14,303-346-0069,Louviers Colorado 80131
182,# 103677,Elbert,Nicholas Wankel,791 Campo St,7202023361,Denver  Colorado 80221
183,# 103683,Elbert,Jaret Bennington,3770 Ranch Hand Lane,720-425-0033,Castle Rock Colorado 80104
184,# 103687,Elbert,MC2 Farms,4890 PRIVATE ROAD 192,503-289-6353,ELIZABETH Colorado 80107
185,# 103697,Elbert,Ivanhoe Farms LLC,2891 Ivanhoe Street,8046771857,Denver Colorado 80207
186,# 103804,Elbert,"MG Mechanical, LLC",418 S Victor Way,720-234-6035,Aurora Colorado 80012
187,# 103917,Elbert,Consorzio Colorado LLC,5646 County Road 146,7205793427,Elizabeth Colorado 80107
188,# 103952,Elbert,BPlace Services LLC,40999 Way of Patience,808-292-9159,Deer Trail Colorado 80105
189,# 103961,Elbert,Colorado Hemp Honey,41322 London Dr.,303.506.9936,Parker Colorado 80138
190,# 103495,Fremont,Galway West LLC,108 County Rd 48,7199424834,Howard Colorado 81233
191,# 103554,Fremont,CNNR LLC,880 Marilynn Rd,719-248-7724,Penrose Colorado 81240
192,# 103557,Fremont,Colorado Healing Acres LLC,714 W 7th St,7194290082,Florence Colorado 81226
193,# 103644,Fremont,Sangre De Cristo Ranch LLC,11627 W 74th Way,303-513-8543,Arvada Colorado 80005
194,# 103812,Fremont,Paul Cleveland,PO Box 120,9364362246,Florence Colorado 81226
195,# 103823,Fremont,"Lazy Acres Whole Hemp, LLC",818 Della Vista Ln,719-371-1859,Canon City Colorado 81212
196,# 103895,Fremont,A4E Consulting,3550 36th Lane,7012260240,Avondale Colorado 81022
197,# 103901,Fremont,Christopher K. Fallis,4405 S Fortune Cir,,Colorado Springs Colorado 80917
198,# 103908,Fremont,"Infinite Farms, LLC",12364 W Alameda Pkwy,7203262095,Lakewood Colorado 80228
199,# 103937,Fremont,Colorado Breeders Depot LLC,596 McDaniel Blvd,6465524699,Canon City Colorado 81212
200,# 103493,Garfield,Hogback Farm LLC,PO Box 616,9703797463,Silt Colorado 81652
201,# 103512,Garfield,High Alpine Genetics LLC,1210 Bennett Ave,970-456-6873,Glenwood Springs Colorado 81601
202,# 103545,Garfield,Organic Growers,PO Box 351,954-249-5674,Rifle Colorado 81650
203,# 103569,Garfield,"Paradise Valley Farms, LLC",POB 6000,970379.7943,Battlement Mesa Colorado 81636
204,# 103579,Garfield,Rifle Creek Nursery Inc.,2492 County Road 210,970-618-1128,Rifle Colorado 81650
205,# 103675,Garfield,Farm Boyz,2335 Airport Rd Unit C,970-665-9496,Rifle Colorado 81650
206,# 103717,Garfield,Orchard Creek Ranch LLC,150 County Road 137,970-915-2221,Glenwood Springs Colorado 81601
207,# 103779,Garfield,High Alpine Genetics LLC,1210 Bennett Ave,970-456-6873,Glenwood Springs Colorado 81601
208,# 103787,Garfield,The GreenGrass Project LLC,4134 County Road 103,9703660476,Carbondale Colorado 81623
209,# 103794,Garfield,Marvin J Gilpin,2103 Co Rd 321,8126210735,Rifle Colorado 81650
210,# 103856,Garfield,Elk Creek Biosciences LLC,1779 County Road 241,970-984-8619,New Castle Colorado 81647
211,# 103886,Garfield,Hempin It,6640 County Road 312,970-210-6657,New Castle Colorado 81647
212,# 103947,Garfield,Deep Rooted Hemp Company LLC,PO Box 906,9708447761,New Castle Colorado 81647
213,# 104012,Garfield,Banana Belt Farms LLC,1577 CR 335,9704047086,New Castle Colorado 81647
214,# 103522,Huerfano,Blue Sky Farms LLP,PO Box 389,816-612-6215,Walsenburg Colorado 81089
215,# 103747,Huerfano,Everything Hemp Company LLC,6902 S Haleyville Ct,3034190465,Aurora Colorado 80016
216,# 103783,Huerfano,Brenda Hurtado,36225 County Road 520,9518401661,Walsenburg Colorado 81089
217,# 103814,Huerfano,"Greenhorn CBD, LLC",1827 County Rd 524,7193676718,Walsenburg Colorado 81089
218,# 103822,Huerfano,Natalie A Fisher,1569 Sun River Ranch Rd,719-251-5019,Walsenburg Colorado 81089
219,# 103918,Huerfano,Revolution Agriculture LLC,2200 Lakeview Ave,7193696055,Pueblo Colorado 81004
220,# 103936,Huerfano,Sunny Acres Ranch LLC,Po Box 44,913-530-9150,Walsenburg Colorado 81089
221,# 103987,Huerfano,Cannabiz Leaf Farms LLC,P.O. Box 130,(305) 494-9000,Walsenburg Colorado 81089
222,# 103484,Jefferson,Primo Gardens Inc,8135 W 94th Ave,7208412767,Westminster Colorado 80021
223,# 103513,Jefferson,Tagawa Greenhouse Enterprises LLC,17999 Weld County Rd 4,303-210-6054,Brighton Colorado 80603
224,# 103636,Jefferson,Big Water Colorado LLC,4140 Reed Street,720-287-3538,Wheat Ridge Colorado 80033
225,# 103775,Jefferson,"Heavenly Hemp Ranch ""LLC""",11950 w. 76th Ave,5129936648,Arvada Colorado 80005
226,# 103877,Jefferson,Laurie Schafer,3801 Urban Street,303-916-3423,Wheat Ridge Colorado 80033
227,# 103982,Jefferson,Essential CBD LLC,8073 S Carr Ct,3037172483,Littleton Colorado 80128
228,# 104004,Jefferson,"Ambary Gardens, LLC",15000 West 6th Ave Unit 104,3036683520,Golden Colorado 80401
229,# 104005,Jefferson,M & R Ltd,16558 lumber mill rd,3037252941,Pine Colorado 80470
230,# 103710,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
231,# 103711,Kiowa,"KHMP,LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
232,# 103718,Kiowa,"KHMP, LLC",1997 County Road,970-215-1061,Sheridan Lake Colorado 81071
233,# 103720,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
234,# 103722,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
235,# 103723,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
236,# 103724,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
237,# 103725,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
238,# 103726,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
239,# 103727,Kiowa,"KHMP, LLC",1997 County Road 71,970-215-1061,Sheridan Lake Colorado 81071
